date,fund_code,weight
2025-08-25,000065,0.5687193913760551
2025-08-25,000030,0.1341690759674814
2025-08-25,000020,0.11529904226590539
2025-08-25,000031,0.10849275178482319
2025-08-25,000008,0.10833532580433529
2025-08-25,000006,0.0839526443503345
2025-08-25,000001,0.07839563849668994
2025-08-25,000219,0.07524851285678764
2025-08-25,000270,0.06211409209434461
2025-08-25,000011,0.05829325641499473
2025-08-25,000459,0.05503918237636837
2025-08-25,000029,0.052228555687424794
2025-08-25,000071,0.05183616358550032
2025-08-25,000075,0.0517245151614226
2025-08-25,000076,0.0517245151614226
2025-08-25,000021,0.04640829275139239
2025-08-25,000039,0.038003425394282524
2025-08-25,000411,0.028770558841625223
2025-08-25,000017,0.02708713855221626
2025-08-25,000390,0.026696654102329007
2025-08-25,000354,0.020143269762514418
