date,equity
2024-08-09,1.0
2024-08-12,0.9980836703324479
2024-08-13,1.0010304944894892
2024-08-14,1.001982305918494
2024-08-15,1.0037198211959801
2024-08-16,1.0036552529492513
2024-08-19,1.006233105142564
2024-08-20,1.0058363254855218
2024-08-21,1.006057277387122
2024-08-22,1.0066859247796744
2024-08-23,1.0081245649863668
2024-08-26,1.0070289609876668
2024-08-27,1.0064565504697869
2024-08-28,1.0059411971395664
2024-08-29,1.004818274262377
2024-08-30,1.0064896182820011
2024-09-02,1.0064529912635916
2024-09-03,1.0049044383442096
2024-09-04,1.0040899967409496
2024-09-05,1.0026694430937713
2024-09-06,1.0008827551143362
2024-09-09,1.000927409746573
2024-09-10,1.0021301126081577
2024-09-11,1.0005309407305856
2024-09-12,1.0015210512731862
2024-09-13,1.002663454232289
2024-09-18,1.0039384984487807
2024-09-19,1.0054353545635386
2024-09-20,1.0053522636511996
2024-09-23,1.0061230503886185
2024-09-24,1.0105053771904884
2024-09-25,1.0103656799917216
2024-09-26,1.0143230515535582
2024-09-27,1.014202047329514
2024-09-30,1.0205277236370707
2024-10-08,1.0226843465772795
2024-10-09,1.0083470136356814
2024-10-10,1.0133375958027762
2024-10-11,1.0125937293157732
2024-10-14,1.017693871654958
2024-10-15,1.0108372463927349
2024-10-16,1.0121260422990705
2024-10-17,1.0091415561008383
2024-10-18,1.0160638679462553
2024-10-21,1.0136700481377294
2024-10-22,1.014939357179357
2024-10-23,1.0149816948240389
2024-10-24,1.012048739318479
2024-10-25,1.0119605073812281
2024-10-28,1.012452628667495
2024-10-29,1.0107850552940347
2024-10-30,1.008507207205293
2024-10-31,1.0055882924348578
2024-11-01,1.0074108070677221
2024-11-04,1.0102544077717177
2024-11-05,1.015669575704066
2024-11-06,1.0129337373225125
2024-11-07,1.020766291853818
2024-11-08,1.019418625772482
2024-11-11,1.0187138408424705
2024-11-12,1.0129191747245474
2024-11-13,1.0139626588885502
2024-11-14,1.0076334631219155
2024-11-15,1.0021261499201377
2024-11-18,1.002060261781355
2024-11-19,1.0045217143919816
2024-11-20,1.0065100842267847
2024-11-21,1.0072395521713475
2024-11-22,1.0006414317659222
2024-11-25,1.0018156903877102
2024-11-26,1.002377150268194
2024-11-27,1.0081577109762907
2024-11-28,1.006031221593812
2024-11-29,1.0088375119483604
2024-12-02,1.0113356917928404
2024-12-03,1.012287600791892
2024-12-04,1.0120371673530153
2024-12-05,1.0105149590398328
