date,fund_code,weight,score,rank
2025-08-26,000065,0.3321236425912546,0.8537390022509591,b'\x06\x00\x00\x00\x00\x00\x00\x00'
2025-08-26,000006,0.09349334444925303,0.7372340356084509,b'\t\x00\x00\x00\x00\x00\x00\x00'
2025-08-26,000219,0.08782863499947152,1.1244068501121571,b'\x02\x00\x00\x00\x00\x00\x00\x00'
2025-08-26,000270,0.08237910056737383,1.1096704073192234,b'\x03\x00\x00\x00\x00\x00\x00\x00'
2025-08-26,000459,0.07784824283155292,1.3435129953724811,b'\x01\x00\x00\x00\x00\x00\x00\x00'
2025-08-26,000029,0.07623285274642147,1.0539032859430029,b'\x04\x00\x00\x00\x00\x00\x00\x00'
2025-08-26,000411,0.06426890010628493,0.7486862233557591,b'\x08\x00\x00\x00\x00\x00\x00\x00'
2025-08-26,000017,0.06303148425169545,0.8388782548999332,b'\x07\x00\x00\x00\x00\x00\x00\x00'
2025-08-26,000390,0.06273568822334084,1.0025616994642985,b'\x05\x00\x00\x00\x00\x00\x00\x00'
2025-08-26,000354,0.06005810923335137,0.7253485269733196,b'\n\x00\x00\x00\x00\x00\x00\x00'
