date,fund_code,weight,score,rank
2025-08-28,000006,0.42200075719020325,0.6384322379885013,b'\x03\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,000029,0.3232754309068232,1.060821252206124,b'\x02\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,000017,0.25472381190297355,1.4724665467116038,b'\x01\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,000270,0.06889682073227961,1.115692065943201,b'\x0e\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,000459,0.06759053624923056,1.1431071419149166,b'\x0c\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,000534,0.05878689860751404,1.2993992361782731,b'\x06\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,159729,0.056765165075437066,1.0380808696198616,b'\x11\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,159511,0.05204119246845407,1.0507754290945008,b'\x10\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,159695,0.04950099270931235,1.2095460608763866,b'\x08\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,159507,0.04937923835370718,1.2392711085556865,b'\x07\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,159739,0.04877664445307266,1.174881401649866,b'\n\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,159527,0.04873348751904143,1.144715577211545,b'\x0b\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,000940,0.04837143505163065,1.542764709934556,b'\x02\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,159608,0.04788055814624313,1.0143507964305198,b'\x14\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,000714,0.04779051220110193,1.0221654572974408,b'\x13\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,159738,0.047132940620815064,1.366894286387783,b'\x05\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,000698,0.04569074268935609,1.3960332950085153,b'\x04\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,000390,0.04449329105313343,1.1346627356859091,b'\r\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,159715,0.0442037565867438,1.5514935278852515,b'\x01\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,159713,0.04414541260561801,1.5286172052765727,b'\x03\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,159583,0.044096152717133005,1.2010676550414698,b'\t\x00\x00\x00\x00\x00\x00\x00'
2025-08-28,000354,0.04038038814922296,1.0627744107917088,b'\x0f\x00\x00\x00\x00\x00\x00\x00'
