date,fund_code,action,delta
2025-08-25,000065,BUY,0.12315820307847875
2025-08-25,000071,BUY,0.07591808179275017
2025-08-25,000076,BUY,0.0758622575807113
2025-08-25,000075,BUY,0.0758622575807113
2025-08-25,000030,BUY,0.0688077937582669
2025-08-25,000020,BUY,0.06313852669444353
2025-08-25,000031,BUY,0.06112033882461129
2025-08-25,000008,BUY,0.06093278647576639
2025-08-25,000001,BUY,0.05022093190536659
2025-08-25,000011,BUY,0.03553238447385342
2025-08-25,000021,BUY,0.033784191089166665
2025-08-25,000039,BUY,0.03231341612895661
2025-08-25,000057,SELL,-0.0381432439366866
2025-08-25,000066,SELL,-0.03949408855031411
2025-08-25,000061,SELL,-0.0401361293719493
2025-08-25,000059,SELL,-0.04065412366638422
2025-08-25,000073,SELL,-0.0416956084592774
2025-08-25,000117,SELL,-0.04173499373504517
2025-08-25,000082,SELL,-0.04895436182807508
2025-08-25,000051,SELL,-0.050768075571368754
2025-08-25,000017,SELL,-0.19183872267507307
2025-08-25,000029,SELL,-0.2515196432844339
2025-08-25,000006,SELL,-0.32835071864959453
