date,fund_code,weight
2025-08-25,000065,0.322714000374594
2025-08-25,000030,0.1170845379837407
2025-08-25,000020,0.1076495211329527
2025-08-25,000031,0.10424637589241159
2025-08-25,000008,0.10416766290216764
2025-08-25,000006,0.09025721969389708
2025-08-25,000001,0.08919781924834497
2025-08-25,000011,0.07914662820749736
2025-08-25,000071,0.07591808179275017
2025-08-25,000075,0.0758622575807113
2025-08-25,000076,0.0758622575807113
2025-08-25,000029,0.0750447911066332
2025-08-25,000021,0.0732041463756962
2025-08-25,000039,0.06900171269714127
2025-08-25,000017,0.06298890459036809
