date,equity
2024-08-12,0.9980861733315641
2024-08-13,1.0010211329987209
2024-08-14,1.0019739235318503
2024-08-15,1.0037069266195446
2024-08-16,1.003644089326813
2024-08-19,1.00622082519428
2024-08-20,1.0058242751004423
2024-08-21,1.0060400087949595
2024-08-22,1.0066681596143254
2024-08-23,1.0081041309238377
2024-08-26,1.0070099227652027
2024-08-27,1.00644036639063
2024-08-28,1.005926836316302
2024-08-29,1.0048259019689156
2024-08-30,1.0070795285399556
2024-09-02,1.007015081461904
2024-09-03,1.0053921725101485
2024-09-04,1.004535189745497
2024-09-05,1.0030559121461347
2024-09-06,1.0011806052729164
2024-09-09,1.001225726060515
2024-09-10,1.0024892240539913
2024-09-11,1.0008125882549652
2024-09-12,1.0018528477810982
2024-09-13,1.0030546563396643
2024-09-18,1.0043934841676128
2024-09-19,1.0060345597222273
2024-09-20,1.005941757804964
2024-09-23,1.0068282758630371
2024-09-24,1.0119530871298414
2024-09-25,1.0117905580095359
2024-09-26,1.0164193306775877
2024-09-27,1.0162595865949091
2024-09-30,1.025744820789818
2024-10-08,1.0344025784946134
2024-10-09,1.0158404204197893
2024-10-10,1.0232124831025335
2024-10-11,1.0225930216905226
2024-10-14,1.03022084880834
2024-10-15,1.0199603869870775
2024-10-16,1.0219922566336246
2024-10-17,1.0175104517978781
2024-10-18,1.0278757249757036
2024-10-21,1.0249155776105217
2024-10-22,1.0266148579878835
2024-10-23,1.0266764074638446
2024-10-24,1.0227495472570676
2024-10-25,1.0226327308029042
2024-10-28,1.0232971780269198
2024-10-29,1.0210446074219661
2024-10-30,1.0180698916236743
2024-10-31,1.014196794119063
2024-11-01,1.0166219829865903
2024-11-04,1.020407826986253
2024-11-05,1.0276236435767405
2024-11-06,1.0239711218283278
2024-11-07,1.0344144208851906
2024-11-08,1.0326132529831722
2024-11-11,1.0316692343625933
2024-11-12,1.0239417828554647
2024-11-13,1.0255493123161326
2024-11-14,1.0169931244498145
2024-11-15,1.009628495331824
2024-11-18,1.009542320622742
2024-11-19,1.012843882965807
2024-11-20,1.0155212922712038
2024-11-21,1.0165012105943594
2024-11-22,1.0076552791475697
2024-11-25,1.0092617224373897
2024-11-26,1.0100137641146802
2024-11-27,1.0177715463046517
2024-11-28,1.0149130667467532
2024-11-29,1.018682819861091
2024-12-02,1.022037697660467
2024-12-03,1.0233190994554315
2024-12-04,1.0229809858477135
2024-12-05,1.020936190721107
2024-12-06,1.024283145793733
2024-12-09,1.0269563217870898
2024-12-10,1.0272019657030513
2024-12-11,1.026839101430779
2024-12-12,1.029803070401126
2024-12-13,1.0240331733076675
2024-12-16,1.021734299356026
2024-12-17,1.0197242241984779
2024-12-18,1.0154292253945902
2024-12-19,1.0119136559598942
2024-12-20,1.0141180410812878
2024-12-23,1.0173188157814852
2024-12-24,1.0244670321260219
2024-12-25,1.024381760954552
2024-12-26,1.0253271277544167
2024-12-27,1.02414065119927
2024-12-30,1.0227412561949796
2024-12-31,1.019279343091344
2025-01-02,1.0094333821253696
2025-01-03,1.0081879094311395
2025-01-06,1.007169636004005
2025-01-07,1.010181373388588
2025-01-08,1.010867356501408
2025-01-09,1.0092466397946223
2025-01-10,0.999419619442821
2025-01-13,0.996297974131374
2025-01-14,1.0076643647443906
2025-01-15,1.0073607286071824
2025-01-16,1.011771618969988
2025-01-17,1.0137215598349922
2025-01-20,1.017464455515043
2025-01-21,1.0238310682598915
2025-01-22,1.0193533128678036
2025-01-23,1.020096811416482
2025-01-24,1.0266309217649017
2025-01-27,1.0269292567996233
2025-02-05,1.0235367322940128
2025-02-06,1.0311099210804315
2025-02-07,1.0367449666209554
2025-02-10,1.0390405214305019
2025-02-11,1.0373377977359808
2025-02-12,1.0434266295533408
2025-02-13,1.0415785030807516
2025-02-14,1.0443086420238168
2025-02-17,1.0461556130445653
2025-02-18,1.0422545552164106
2025-02-19,1.048255173892617
2025-02-20,1.0476374647569224
2025-02-21,1.0542012167082524
2025-02-24,1.051637795793597
2025-02-25,1.045970515065381
2025-02-26,1.0543607091345222
2025-02-27,1.052334448454227
2025-02-28,1.038257014684185
2025-03-03,1.039194674638382
2025-03-04,1.039022549809883
2025-03-05,1.0486592622883202
2025-03-06,1.0542972425342623
2025-03-07,1.0525415815705124
2025-03-10,1.0455816544070793
2025-03-11,1.0424208247378166
2025-03-12,1.0393880951352181
2025-03-13,1.0320808800397812
2025-03-14,1.0489100684803214
2025-03-17,1.0519404894213422
2025-03-18,1.0550170542249127
2025-03-19,1.0543316316432214
2025-03-20,1.0499620013460274
2025-03-21,1.037367060050906
2025-03-24,1.043687892340335
2025-03-25,1.0387943551104433
2025-03-26,1.0380027803081622
2025-03-27,1.0386300008477305
2025-03-28,1.0339190679923103
2025-03-31,1.030739744296942
2025-04-01,1.031235487308413
2025-04-02,1.0338474022859019
2025-04-03,1.0226579797245077
2025-04-07,0.959098184456966
2025-04-08,0.9618774309399256
2025-04-09,0.9803202424567019
2025-04-10,0.9838292578500359
