date,fund_code,weight
2025-08-25,000065,0.33435969568802754
2025-08-25,000030,0.1170845379837407
2025-08-25,000020,0.1076495211329527
2025-08-25,000031,0.10424637589241159
2025-08-25,000008,0.10416766290216764
2025-08-25,000006,0.09197632217516725
2025-08-25,000001,0.08919781924834497
2025-08-25,000219,0.08762425642839383
2025-08-25,000270,0.08105704604717232
2025-08-25,000011,0.07914662820749736
2025-08-25,000459,0.07751959118818419
2025-08-25,000029,0.0761142778437124
2025-08-25,000071,0.07591808179275017
2025-08-25,000075,0.0758622575807113
2025-08-25,000076,0.0758622575807113
2025-08-25,000021,0.0732041463756962
2025-08-25,000039,0.06900171269714127
2025-08-25,000411,0.06438527942081261
2025-08-25,000017,0.06354356927610813
2025-08-25,000390,0.0633483270511645
2025-08-25,000354,0.06007163488125721
