date,fund_code,action,delta
2025-08-28,000190,BUY,0.149573805163896
2025-08-28,000404,BUY,0.06693670273179164
2025-08-28,000534,BUY,0.06394255624916675
2025-08-28,563010,BUY,0.06187798003071471
2025-08-28,159729,BUY,0.056765165075437066
2025-08-28,159507,BUY,0.05309934915689318
2025-08-28,159511,BUY,0.05204119246845407
2025-08-28,000940,BUY,0.0519377617251754
2025-08-28,515070,BUY,0.05148883475538158
2025-08-28,159819,BUY,0.051440220172746874
2025-08-28,159738,BUY,0.0505102812216648
2025-08-28,517390,BUY,0.05048107950756722
2025-08-28,515980,BUY,0.04959683445245646
2025-08-28,159695,BUY,0.04950099270931235
2025-08-28,000698,BUY,0.04884801340831236
2025-08-28,159739,BUY,0.04877664445307266
2025-08-28,159527,BUY,0.04873348751904143
2025-08-28,588930,BUY,0.04862303021894504
2025-08-28,000199,BUY,0.048292251472739176
2025-08-28,159608,BUY,0.04788055814624313
2025-08-28,560660,BUY,0.047852580432896384
2025-08-28,000714,BUY,0.04779051220110193
2025-08-28,516780,BUY,0.04719099344718888
2025-08-28,159715,BUY,0.047134123044612924
2025-08-28,159713,BUY,0.04706687615719704
2025-08-28,516150,BUY,0.04700268775689321
2025-08-28,515880,BUY,0.046542325349357
2025-08-28,516860,BUY,0.04607038743175459
2025-08-28,516100,BUY,0.04600357439521991
2025-08-28,000309,BUY,0.04514268538412836
2025-08-28,159583,BUY,0.044096152717133005
2025-08-28,520500,BUY,0.0432905110858558
2025-08-28,000020,BUY,0.04288094590094312
2025-08-28,000011,BUY,0.04188236218090613
2025-08-28,000458,BUY,0.040402832799760036
2025-08-28,000021,BUY,0.03855827804921165
2025-08-28,000457,BUY,0.03778667297402176
2025-08-28,000039,BUY,0.035604386137100034
2025-08-28,000219,BUY,0.00701149349867311
2025-08-28,000459,BUY,0.00660419604099223
2025-08-28,000411,BUY,0.0037773849671872833
2025-08-28,000270,BUY,0.0031300210865067013
2025-08-28,000029,BUY,0.0030350179184369525
2025-08-28,000390,BUY,0.0030328715924549526
2025-08-28,000354,BUY,0.002383431287442027
2025-08-28,000065,SELL,-0.005842873490523148
2025-08-28,000017,SELL,-0.29881563049890536
2025-08-28,000006,SELL,-0.588393774015269
