date,equity
2024-08-09,1.0
2024-08-12,0.9977039103971352
2024-08-13,1.0026579509592075
2024-08-14,1.0041290167249366
2024-08-15,1.0071972596867544
2024-08-16,1.0071068453187964
2024-08-19,1.0107799422122592
2024-08-20,1.0104887669421703
2024-08-21,1.0113446676350464
2024-08-22,1.011794265361859
2024-08-23,1.0151516610849338
2024-08-26,1.0134900074089412
2024-08-27,1.0136438309053777
2024-08-28,1.012656309513602
2024-08-29,1.0111535429004364
2024-08-30,1.014142459231197
2024-09-02,1.0131353139081907
2024-09-03,1.010185212588618
2024-09-04,1.0087555705264357
2024-09-05,1.0065683798222385
2024-09-06,1.0038079950499934
2024-09-09,1.004166538497869
2024-09-10,1.006666389020222
2024-09-11,1.005101804037584
2024-09-12,1.00732979230213
2024-09-13,1.009412690621578
2024-09-18,1.0107298510797489
2024-09-19,1.0143890609808306
2024-09-20,1.0145743273469716
2024-09-23,1.015929620483712
2024-09-24,1.0227754496005792
2024-09-25,1.0223929976456863
2024-09-26,1.0284154189900008
2024-09-27,1.0306795570937681
2024-09-30,1.0390952272296072
2024-10-08,1.0390193749497771
2024-10-09,1.0205193657470877
2024-10-10,1.0266042352178146
2024-10-11,1.0247606851863096
2024-10-14,1.031013343428409
2024-10-15,1.0203854120046274
2024-10-16,1.0219469983714635
2024-10-17,1.0175973925023627
2024-10-18,1.029529815535748
2024-10-21,1.0257527301082738
2024-10-22,1.0278520801267457
2024-10-23,1.0289830064249599
2024-10-24,1.0248972521914943
2024-10-25,1.02536233953498
2024-10-28,1.0257308901652153
2024-10-29,1.0242811092826047
2024-10-30,1.0206325265032694
2024-10-31,1.016237754096918
2024-11-01,1.0182396258756574
2024-11-04,1.0221902348534673
2024-11-05,1.0309714528094807
2024-11-06,1.026375932780529
2024-11-07,1.0379493907218378
2024-11-08,1.0357253518094784
2024-11-11,1.0337345948885281
2024-11-12,1.025071251399912
2024-11-13,1.0265907765229285
2024-11-14,1.0163767142096345
2024-11-15,1.0078844746042468
2024-11-18,1.0074007668821936
2024-11-19,1.011544642388273
2024-11-20,1.0141302824580551
2024-11-21,1.014591597254613
2024-11-22,1.0043541224669477
2024-11-25,1.0045822237525226
2024-11-26,1.0055729087185956
2024-11-27,1.0141802781487137
2024-11-28,1.0106063519082693
2024-11-29,1.0150344178192707
2024-12-02,1.0186278809111982
2024-12-03,1.019496046281997
2024-12-04,1.018394364110342
2024-12-05,1.0171604355388864
2024-12-06,1.0207568547908572
2024-12-09,1.0233854665811186
2024-12-10,1.0228624720673074
2024-12-11,1.022722041844368
2024-12-12,1.0259512779434397
2024-12-13,1.019363565797683
2024-12-16,1.0165485425237324
2024-12-17,1.0146074602731094
2024-12-18,1.0105223310761409
2024-12-19,1.0079342662409245
2024-12-20,1.0106956098711877
2024-12-23,1.0130396365550725
2024-12-24,1.0195328072765935
2024-12-25,1.0194571065501377
2024-12-26,1.0215796409391624
2024-12-27,1.019731931731032
2024-12-30,1.017805172049111
2024-12-31,1.0134370566495958
2025-01-02,1.0035842648815083
2025-01-03,1.001863554784326
2025-01-06,1.0005486292187193
2025-01-07,1.00345978247329
2025-01-08,1.0036836628948034
2025-01-09,1.0025239640354617
2025-01-10,0.9935283565357502
2025-01-13,0.9907690406697444
2025-01-14,1.0022509601997558
2025-01-15,1.0017012419177418
2025-01-16,1.0063839929859162
2025-01-17,1.0086944577136336
2025-01-20,1.0131260481908912
2025-01-21,1.0191341498860802
2025-01-22,1.0161549110634143
2025-01-23,1.0158555740629318
2025-01-24,1.0220802262115345
2025-01-27,1.0191518291707782
2025-02-05,1.0145036076503982
2025-02-06,1.0222832838732374
2025-02-07,1.0279983224473805
2025-02-10,1.0309028116138041
2025-02-11,1.0296118617908128
2025-02-12,1.0355339830101558
2025-02-13,1.0333869492398204
2025-02-14,1.0360075294092765
2025-02-17,1.039336013786759
2025-02-18,1.0366409830951033
2025-02-19,1.0417404160634363
2025-02-20,1.041271957070842
2025-02-21,1.0484771999543585
2025-02-24,1.046268281251207
2025-02-25,1.0419012766981757
2025-02-26,1.0479565163269622
2025-02-27,1.0455999172069352
2025-02-28,1.0329166979632594
2025-03-03,1.0324676864851035
2025-03-04,1.0329513423282697
2025-03-05,1.040773732102813
2025-03-06,1.0464520479471056
2025-03-07,1.0449915066488198
2025-03-10,1.0400305551845714
2025-03-11,1.03825754707967
2025-03-12,1.03638031809452
2025-03-13,1.029656770524456
2025-03-14,1.0429218354257093
2025-03-17,1.0455132345331337
2025-03-18,1.0481331621647703
2025-03-19,1.0467213739041206
2025-03-20,1.0426892937035699
2025-03-21,1.033508846297997
2025-03-24,1.0374201778543763
2025-03-25,1.0324847131352664
2025-03-26,1.0324020182920477
2025-03-27,1.0323389577766908
2025-03-28,1.0282255671571796
2025-03-31,1.0253644844856435
2025-04-01,1.025895788657091
2025-04-02,1.0280198516427137
